epsilon,distance,algorithm,dataset
0.1,20.621904523809523,2d-laplace,seeds-dataset
0.5,3.9661480952380956,2d-laplace,seeds-dataset
0.7,2.75568993197279,2d-laplace,seeds-dataset
1.0,2.0767146761904764,2d-laplace,seeds-dataset
1.5,1.3504384317460318,2d-laplace,seeds-dataset
2.0,0.9855667595238097,2d-laplace,seeds-dataset
2.5,0.7913939809523808,2d-laplace,seeds-dataset
3.0,0.6402728111111111,2d-laplace,seeds-dataset
3.5,0.6328089482993197,2d-laplace,seeds-dataset
5.0,0.40336254952380934,2d-laplace,seeds-dataset
7.0,0.2743846448979592,2d-laplace,seeds-dataset
9.0,0.21488014973544978,2d-laplace,seeds-dataset
