type,epsilon,ari,ami,ch,sc
"KMeans(clusters=2, init=random)",0.1,-0.000736569709247606,-0.0005289164705818761,618.6223138476068,0.3629422456578514
"KMeans(clusters=2, init=random)",0.5,0.0012528237105730955,0.0008822088360368127,564.8599127582638,0.3389442639420981
"KMeans(clusters=2, init=random)",0.7,0.003515053607653293,0.0025562371175466784,550.5005414557048,0.33267927395575503
"KMeans(clusters=2, init=random)",1.0,0.0012884755955833132,0.0009085320602273437,524.2168902654466,0.32084174262458764
"KMeans(clusters=2, init=random)",1.5,0.04745726888499309,0.0344645101302752,497.66243313920984,0.3098181347197965
"KMeans(clusters=2, init=random)",2.0,0.02137653706692612,0.015448458642795534,520.2223238060031,0.3157372229711694
"KMeans(clusters=2, init=random)",2.5,-0.0005609553060873942,-0.00041793060347028205,513.7333688112801,0.3118441252158043
"KMeans(clusters=2, init=random)",3.0,0.14260022239432973,0.10595155545814247,467.1925764177607,0.29411848066926577
"KMeans(clusters=2, init=random)",3.5,0.0014597973214775645,0.0010838848849706348,444.47456063690726,0.27950148678446896
"KMeans(clusters=2, init=random)",5.0,0.0075223524038720456,0.005640792197375349,434.6482780794698,0.26901558285436755
"KMeans(clusters=2, init=random)",7.0,0.8335702101190321,0.7508879603373682,409.4313216070394,0.2614953281244598
"KMeans(clusters=2, init=random)",9.0,0.9319298695116525,0.8750074354549925,412.1145781507688,0.26254515527253786
