epsilon,distance,algorithm,dataset
0.1,38.24107362438826,2d-piecewise,circle-dataset
0.5,6.9637020113037895,2d-piecewise,circle-dataset
0.7,4.827963864925908,2d-piecewise,circle-dataset
1.0,3.1955704079513043,2d-piecewise,circle-dataset
1.5,1.804167347742423,2d-piecewise,circle-dataset
2.0,1.2583150701382766,2d-piecewise,circle-dataset
2.5,0.9027001034827503,2d-piecewise,circle-dataset
3.0,0.6652948441287315,2d-piecewise,circle-dataset
3.5,0.48035662503550336,2d-piecewise,circle-dataset
5.0,0.24576992051459193,2d-piecewise,circle-dataset
7.0,0.07691371289350821,2d-piecewise,circle-dataset
9.0,0.02934982310334117,2d-piecewise,circle-dataset
