algorithm,epsilon,True Positive Rate,False Positive Rate
laplace-optimal-truncated,1.5,0.675,0.47
laplace-optimal-truncated,2.0,0.647,0.478
laplace-optimal-truncated,3.5,0.644,0.515
laplace-optimal-truncated,5.0,0.669,0.499
piecewise,7.0,0.678,0.266
piecewise,9.0,0.678,0.255
