epsilon,distance,algorithm,dataset
0.1,1.5784885962386095,2d-laplace-optimal-truncated,skewed-dataset
0.5,1.6818059206540539,2d-laplace-optimal-truncated,skewed-dataset
0.7,1.5268056665242271,2d-laplace-optimal-truncated,skewed-dataset
1.0,1.3491909268599873,2d-laplace-optimal-truncated,skewed-dataset
1.5,1.108253955396837,2d-laplace-optimal-truncated,skewed-dataset
2.0,0.9234756362325399,2d-laplace-optimal-truncated,skewed-dataset
2.5,0.767984707357491,2d-laplace-optimal-truncated,skewed-dataset
3.0,0.6456200662559136,2d-laplace-optimal-truncated,skewed-dataset
3.5,0.5652523343739843,2d-laplace-optimal-truncated,skewed-dataset
5.0,0.39782078275925586,2d-laplace-optimal-truncated,skewed-dataset
7.0,0.2902225235008095,2d-laplace-optimal-truncated,skewed-dataset
9.0,0.22427002551989259,2d-laplace-optimal-truncated,skewed-dataset
