epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.1,0.20466732869910628,0.6508563899868248,[0.         0.44150943 1.        ],[0.         0.23684211 1.        ],0,4,nd-laplace-optimal-truncated
0.1,0.05071641367569868,0.5272547076313181,[0.         0.49056604 1.        ],[0.         0.43984962 1.        ],1,4,nd-laplace-optimal-truncated
0.1,0.22393247269116184,0.6232914160743576,[0.         0.56603774 1.        ],[0.         0.34210526 1.        ],2,4,nd-laplace-optimal-truncated
0.1,-0.0590012767768478,0.4559903494105944,[0.         0.30566038 1.        ],[0.         0.36466165 1.        ],3,4,nd-laplace-optimal-truncated
0.1,0.11421478223861542,0.5881219763140036,[0.         0.38113208 1.        ],[0.         0.26691729 1.        ],4,4,nd-laplace-optimal-truncated
0.1,0.1973045822102426,0.6283309957924264,[0.         0.48301887 1.        ],[0.         0.28571429 1.        ],5,4,nd-laplace-optimal-truncated
0.1,0.28039438218186974,0.6576282000159502,[0.         0.58490566 1.        ],[0.         0.30451128 1.        ],6,4,nd-laplace-optimal-truncated
0.1,-0.05490140445453251,0.46760421898543447,[0.         0.39622642 1.        ],[0.         0.45112782 1.        ],7,4,nd-laplace-optimal-truncated
0.1,-0.11898141580366012,0.42752708985016336,[0.        0.3509434 1.       ],[0.         0.46992481 1.        ],8,4,nd-laplace-optimal-truncated
0.1,-0.005915732728046519,0.4965555977731155,[0.         0.42641509 1.        ],[0.         0.43233083 1.        ],9,4,nd-laplace-optimal-truncated
0.1,0.020073769328982805,0.5152265145808673,[0.         0.33962264 1.        ],[0.         0.31954887 1.        ],10,4,nd-laplace-optimal-truncated
0.1,0.2013618953042985,0.6090604542520822,[0.         0.56226415 1.        ],[0.         0.36090226 1.        ],11,4,nd-laplace-optimal-truncated
0.1,0.1407859270818556,0.5929491982616515,[0.        0.4490566 1.       ],[0.         0.30827068 1.        ],12,4,nd-laplace-optimal-truncated
0.1,0.18212512413108245,0.6285393888421642,[0.         0.44528302 1.        ],[0.         0.26315789 1.        ],13,4,nd-laplace-optimal-truncated
