type,dimensions,ari,ami,ch,sc
nd-piecewise,4,0.004034188979566257,0.0011849856015971757,551.7694142311989,0.22919866476409423
nd-piecewise,5,0.00397552855286452,0.00110256051474924,384.2846345542401,0.17313219591216722
nd-piecewise,6,0.002826654227986342,0.0010648043301787736,293.6465648396694,0.13929005133889594
nd-piecewise,7,0.006586668617009875,0.005479476962033246,239.83840213284688,0.11444274358550602
nd-piecewise,8,0.009530219962215569,0.007144383909849572,201.50189077221663,0.09746467269405584
nd-piecewise,9,0.010038688237190629,0.00831055636742872,175.0563895208717,0.08628651071771629
nd-laplace,4,0.48341075531649447,0.4491436596431809,668.4441038473193,0.24565476600425518
nd-laplace,5,0.49245093543784585,0.5161882193906111,559.9439599377849,0.2294978876412838
nd-laplace,6,0.5588069126059054,0.557197515543054,516.2883636513654,0.215878566642912
nd-laplace,7,0.5872555151250466,0.6158445580084889,556.126816693934,0.2134568543681687
nd-laplace,8,0.6411248763056238,0.639607202422871,529.7305294212927,0.21362919806593275
nd-laplace,9,0.702822500491474,0.6995290317947168,538.8581256378359,0.20323007328051892
nd-laplace-truncated,4,0.5223934714755866,0.47657939782058617,705.1625160838598,0.2513025488783525
nd-laplace-truncated,5,0.5547081256733739,0.5649621107814403,565.3162759251019,0.23021162915379909
nd-laplace-truncated,6,0.570357976405822,0.5794509641668179,528.8832990019397,0.21053875854508322
nd-laplace-truncated,7,0.5873072601549902,0.6201745114200921,586.8417127658838,0.22459172970479155
nd-laplace-truncated,8,0.594821162108903,0.6092369286278994,527.1015903655209,0.20964727323080265
nd-laplace-truncated,9,0.6763326928417264,0.6797486108432297,540.760530334647,0.19448375186162484
nd-laplace-optimal-truncated,4,0.4542989069614456,0.41712823869923865,763.2936668276586,0.29101000434094193
nd-laplace-optimal-truncated,5,0.4253599070222795,0.43400717123574273,604.8086297815444,0.2579923156241339
nd-laplace-optimal-truncated,6,0.4939734313645675,0.5034023405718346,538.4693101330582,0.23528014043553075
nd-laplace-optimal-truncated,7,0.4886730996299905,0.5172811270121443,561.9895164106334,0.23531965337609817
nd-laplace-optimal-truncated,8,0.5482089893471003,0.5609954178061894,512.2578554680732,0.20017738506446184
nd-laplace-optimal-truncated,9,0.5427442997722152,0.5672853541400606,508.91436211585705,0.21197283523098717
