type,dimensions,ari,ami,ch,sc
nd-piecewise,4,-4.60939586400267e-05,-0.0003979886303629563,516.6637962862565,0.20693331752839614
nd-piecewise,5,0.001628136228932376,0.00010070098837058536,376.2168794709888,0.16525158765184894
nd-piecewise,6,0.0016049230414822257,0.0005742962981375543,288.1791180201418,0.13246691222408052
nd-piecewise,7,0.0010958731718521385,0.0006215920238662546,233.70498599165813,0.11027578909742397
nd-piecewise,8,0.00020696681648595564,-5.8140757609966206e-05,197.12332368762623,0.09464915725467578
nd-piecewise,9,0.0015148146455880936,0.0012998037835899156,168.83284250459462,0.08146697714521647
nd-laplace,4,0.40050600463786995,0.37395708172499337,702.2780427722082,0.23751034008166538
nd-laplace,5,0.4394400068695422,0.46648587051049956,578.0021266776674,0.2216738552564695
nd-laplace,6,0.5019051091186084,0.51028877919233,511.2219120504251,0.19999148925235433
nd-laplace,7,0.541167304174501,0.5895745314769545,602.7071904895945,0.2349612158085078
nd-laplace,8,0.6125774390228017,0.6187414366552693,528.7454311426477,0.2091148359188054
nd-laplace,9,0.614799402887513,0.6256258135031857,520.0306028955017,0.20736791397437182
nd-laplace-truncated,4,0.37415999551990525,0.34096335845988834,641.2433767448863,0.24038696815142546
nd-laplace-truncated,5,0.4723607681503381,0.4994563243371939,573.0539650391454,0.22828104133978294
nd-laplace-truncated,6,0.49570309412051045,0.5099613777077556,499.4876730177094,0.19920178596369817
nd-laplace-truncated,7,0.6305083716686453,0.6398153550109971,602.6320829588186,0.2422160321934553
nd-laplace-truncated,8,0.5879899853072363,0.5915547367181675,522.0667950282581,0.20566145653381152
nd-laplace-truncated,9,0.5957638389914977,0.6174488531234033,530.9148398843247,0.19725534774856562
nd-laplace-optimal-truncated,4,0.34489789895697315,0.3256461816239694,737.483978413532,0.27986623498582
nd-laplace-optimal-truncated,5,0.43545319918126707,0.42951131693757316,579.3253902170361,0.2567867063053508
nd-laplace-optimal-truncated,6,0.4777540786205918,0.46886618252688894,530.2244507315761,0.22609390811543068
nd-laplace-optimal-truncated,7,0.5388412329950436,0.5668649254278385,563.804511860381,0.22592304390093987
nd-laplace-optimal-truncated,8,0.5404105471708933,0.5473721672861901,519.2893549082397,0.20731741908147588
nd-laplace-optimal-truncated,9,0.5049452465318753,0.5368841050968838,502.49851497913824,0.19069815508347948
