type,dimensions,ari,ami,ch,sc
nd-piecewise,4,0.02388017747300017,0.010744046437924345,639.8879790385872,0.29068031015185325
nd-piecewise,5,0.03143429891859569,0.01579824086112473,451.52107687171167,0.222039818008885
nd-piecewise,6,0.03579949345551017,0.02062514759321547,343.2060284738983,0.17769134073657722
nd-piecewise,7,0.09866936520579536,0.07812961246146262,287.79203487829875,0.1463783426904483
nd-piecewise,8,0.08202943720215584,0.06779039997907757,240.3577737096201,0.12655414724599512
nd-piecewise,9,0.0874809555411781,0.07182188376223035,209.65097499324693,0.1122714500029774
nd-laplace,4,0.6229316766829871,0.5801474330636999,729.799269274089,0.2712753040161529
nd-laplace,5,0.6358521586951211,0.638031072414867,595.0014153182494,0.24928123202432134
nd-laplace,6,0.7282545313187553,0.7025986695995383,531.8649425333995,0.23574779370075177
nd-laplace,7,0.6627558828045526,0.6859395199285381,604.5694282538751,0.2409339674192009
nd-laplace,8,0.7392644938470115,0.7351714371855882,532.8143307507187,0.21535631667343513
nd-laplace,9,0.667647973187271,0.6845311857548178,534.5925909649885,0.19613664632986738
nd-laplace-truncated,4,0.7087225351619264,0.6469292315850451,747.5355325973518,0.27232397141479725
nd-laplace-truncated,5,0.6614208720594676,0.6547852346762101,579.393660532973,0.25474099470396816
nd-laplace-truncated,6,0.6954050183213029,0.6869654672746391,536.4625060746379,0.235483840756496
nd-laplace-truncated,7,0.5899092127209026,0.6278589912597352,588.2887256935271,0.23832295067392875
nd-laplace-truncated,8,0.693126569411046,0.6917073382375053,528.4758116605435,0.2227697675655406
nd-laplace-truncated,9,0.7271894419242683,0.7287391783361459,542.3906280401848,0.20783863074127157
nd-laplace-optimal-truncated,4,0.4602099122166449,0.456372949873238,776.982441276962,0.28756830473910855
nd-laplace-optimal-truncated,5,0.5066768422458015,0.5129772673024255,587.4634308282667,0.26734857986289934
nd-laplace-optimal-truncated,6,0.6015737920736288,0.5842310982950766,529.4045680072397,0.23100573491532544
nd-laplace-optimal-truncated,7,0.5840940159170043,0.5813557360778,560.9589028802635,0.23600486222242517
nd-laplace-optimal-truncated,8,0.5935557708463484,0.5976039365912811,521.7519376955804,0.20538335867796356
nd-laplace-optimal-truncated,9,0.617234688687964,0.6275431650984149,503.3467614305675,0.18334343728781932
