type,dimensions,ari,ami,ch,sc
nd-piecewise,4,0.8457830466797234,0.7544773387440794,832.926308047482,0.2909807685513132
nd-piecewise,5,0.6618303966532055,0.6343473579463833,600.0651786936085,0.2799291760700145
nd-piecewise,6,0.7250485136705104,0.7010438562035014,559.8528693634555,0.2621210109000778
nd-piecewise,7,0.5422374520278115,0.5690729392883564,552.5551039298965,0.24036557762671448
nd-piecewise,8,0.50562072484616,0.5241650146524743,523.8655601099805,0.2305002867314129
nd-piecewise,9,0.7315862414433221,0.7189765345567152,510.3506587007485,0.2010369990800954
nd-laplace,4,0.7622002010144431,0.7468426775051478,729.8053358156683,0.28283067823715335
nd-laplace,5,0.7130561478180577,0.7333894281068407,609.6768198358388,0.2803511638587421
nd-laplace,6,0.7532896127470454,0.7756586751687783,562.8143632490336,0.25696184898311264
nd-laplace,7,0.6609286681346148,0.6831250002782732,615.5574344299766,0.25225815115807804
nd-laplace,8,0.5480362786519895,0.5989230290045218,545.2331025313104,0.22426055804193396
nd-laplace,9,0.7693033606785253,0.786077654486442,546.0885561133724,0.21185409849767317
nd-laplace-truncated,4,0.7881634106571352,0.7590018695532743,757.6779372720194,0.28540609394469024
nd-laplace-truncated,5,0.7504434675144991,0.7488568593531162,609.6631146939355,0.28356503442036174
nd-laplace-truncated,6,0.7880335943521859,0.7988911640145887,552.1985852950825,0.25171952315267054
nd-laplace-truncated,7,0.8162289003571678,0.8290571226135481,586.0482765559217,0.23639975491489698
nd-laplace-truncated,8,0.7469109558256999,0.7659861467310788,539.8645840558655,0.2110995412063834
nd-laplace-truncated,9,0.6715116027706629,0.7137015393647335,549.8333856471816,0.21888235368927345
nd-laplace-optimal-truncated,4,0.5168722053545085,0.5155656344477484,747.6913820320549,0.28501351588661145
nd-laplace-optimal-truncated,5,0.5346295220246534,0.541466559947141,613.3117734894428,0.26076297384900016
nd-laplace-optimal-truncated,6,0.7287242076979723,0.6954403710553796,573.3502434546983,0.2593701478206071
nd-laplace-optimal-truncated,7,0.5423215004531693,0.5789587354325486,582.6384203643598,0.24155344390858496
nd-laplace-optimal-truncated,8,0.5305143436729235,0.5574568166054765,522.2490829068759,0.20989129530635395
nd-laplace-optimal-truncated,9,0.4751199105219851,0.5302519415335817,518.8664741976651,0.21468930171517417
