type,dimensions,ari,ami,ch,sc
nd-piecewise,4,0.02336329762635651,0.009251264413884075,715.6556762048259,0.3380837377483507
nd-piecewise,5,0.03775977376894945,0.017306895206533834,488.56750141933827,0.2627955541367714
nd-piecewise,6,0.04857178740550351,0.025998673409333463,368.5194625817755,0.2112747818813558
nd-piecewise,7,0.1336103351085545,0.12005978050463728,320.37713175605535,0.1651551569890461
nd-piecewise,8,0.1352779014510252,0.11232910049353899,272.3812465742214,0.14559570535805139
nd-piecewise,9,0.14418047438231346,0.12396434291303335,241.07950771715917,0.13350276518793494
nd-laplace,4,0.7774308786284723,0.714646502657038,790.3953946734339,0.28100876853563217
nd-laplace,5,0.6259669353909302,0.6191942817653485,612.8857268435816,0.2582482350379363
nd-laplace,6,0.6734757829882727,0.6732342632371804,555.1402522663528,0.24675960240493736
nd-laplace,7,0.7846117235661914,0.7847103484517746,595.8836798875999,0.24006143252102122
nd-laplace,8,0.6847775129524839,0.6878330834168239,548.2474862655927,0.23354900609173246
nd-laplace,9,0.6475798812714235,0.6723309354820505,534.773255625766,0.2144708927065581
nd-laplace-truncated,4,0.7325379912393013,0.6838713096652667,741.3521869980123,0.2796029915971305
nd-laplace-truncated,5,0.6435329551347546,0.646787251519081,598.5241866355701,0.26064222132497966
nd-laplace-truncated,6,0.7561290736073886,0.7349841145219764,563.0745753090442,0.25189603560753826
nd-laplace-truncated,7,0.6791957324579193,0.6795240769290661,611.0243925834308,0.2484548268729751
nd-laplace-truncated,8,0.7081426719410537,0.7176569207207917,529.7821971091282,0.21223697252112453
nd-laplace-truncated,9,0.584352831239063,0.6219976343030855,535.8299665152026,0.21467000741483194
nd-laplace-optimal-truncated,4,0.5420012005548838,0.52177518500509,782.2099555114763,0.28933163188753425
nd-laplace-optimal-truncated,5,0.6590590997507488,0.6114162617077568,624.2982621208369,0.27549694178931244
nd-laplace-optimal-truncated,6,0.5432211696979388,0.5690727448967767,550.9813608434218,0.23633171208341458
nd-laplace-optimal-truncated,7,0.47807038149867037,0.5366578121556019,585.0072266339708,0.23901900098699952
nd-laplace-optimal-truncated,8,0.6434058807785366,0.6343752350557734,532.0974152689995,0.21955089985314938
nd-laplace-optimal-truncated,9,0.6482456755765013,0.6471626727281892,513.8310868565228,0.19307781077798297
