type,dimensions,ari,ami,ch,sc
nd-piecewise,4,0.00557532871309209,0.0016517536297550677,626.4719866764915,0.2656098727465711
nd-piecewise,5,0.006671399349120259,0.0027825549829902973,433.63420867630873,0.20849155200244263
nd-piecewise,6,0.0039778956230633825,0.00287787301828329,327.6401272723473,0.16813048717811285
nd-piecewise,7,0.02728177358912496,0.024075385698826567,262.57704140848034,0.13296121300925925
nd-piecewise,8,0.014146974748023056,0.011939935709733894,220.85553000800027,0.11819755304336554
nd-piecewise,9,0.04727076520709642,0.04217081472800496,190.59559202220757,0.09833847112572727
nd-laplace,4,0.6004758270093843,0.5419677389856596,735.5775699194762,0.2664032856859756
nd-laplace,5,0.4631054253495339,0.5051052958872714,590.158624707108,0.24249690034965626
nd-laplace,6,0.627530923419814,0.616547069979397,521.044109201017,0.22526872541852178
nd-laplace,7,0.7552448477204414,0.757630705412703,589.6426341043749,0.2353993324179458
nd-laplace,8,0.7485965387082661,0.7387668373212318,525.9363295034165,0.20874209709058605
nd-laplace,9,0.6716194660983053,0.6869523017027863,546.8647842393226,0.2043879016296965
nd-laplace-truncated,4,0.6189060288768959,0.564512727665037,741.8294768398589,0.26500276960282
nd-laplace-truncated,5,0.49678189976558035,0.5306577782742339,580.5016728555295,0.24211430269016615
nd-laplace-truncated,6,0.7447901452905554,0.7082790164611624,554.1914563458938,0.23620710019152563
nd-laplace-truncated,7,0.6429573868913694,0.6691678156558357,583.8201533777577,0.23719219216652504
nd-laplace-truncated,8,0.6262901837043628,0.6433404616889239,526.1690292231531,0.20967726852169224
nd-laplace-truncated,9,0.6225352315040297,0.6588937598276715,542.3472629860128,0.2075378043740855
nd-laplace-optimal-truncated,4,0.5110499184461613,0.4875028643352565,782.4325160135343,0.28932318073095936
nd-laplace-optimal-truncated,5,0.42520152347949003,0.4436312096770618,576.0279841349154,0.25607838001293937
nd-laplace-optimal-truncated,6,0.5330267977442525,0.5397627918211495,537.0391564188218,0.2346265928118522
nd-laplace-optimal-truncated,7,0.4885907928931811,0.5331701371848917,565.595472530184,0.23822440877619527
nd-laplace-optimal-truncated,8,0.419267978770239,0.4712234884624948,523.2574507620477,0.21589066987712635
nd-laplace-optimal-truncated,9,0.6100499701205742,0.6192660462209545,507.1613019724218,0.1947889148763285
