type,dimensions,ari,ami,ch,sc
nd-piecewise,4,0.13689880905475524,0.0933431423323892,716.479536989152,0.3153016475441077
nd-piecewise,5,0.12334906935894,0.08811894857855397,509.18041292605375,0.27320174028131616
nd-piecewise,6,0.17376344945243288,0.12644406180452597,397.4989614784544,0.20592153573045113
nd-piecewise,7,0.2472048982769584,0.2035059636268659,382.42554583374766,0.20957109756024456
nd-piecewise,8,0.2394533368966112,0.19294276718182996,324.83926332908214,0.18646120863144314
nd-piecewise,9,0.23507023710069,0.2016498833190646,293.01416092269017,0.1679004933417811
nd-laplace,4,0.8047574262156078,0.7510159718406644,774.9846531552159,0.28554938782484385
nd-laplace,5,0.6738652989300364,0.6707687009319783,606.4543576743333,0.2823369558753143
nd-laplace,6,0.5936235929065166,0.6365951146125266,517.4013793976076,0.23367527295428178
nd-laplace,7,0.6195303008338102,0.6574400620125952,616.0475558820606,0.2580430955619211
nd-laplace,8,0.5644134937073365,0.6152206187855576,542.0175200853131,0.23114473446449346
nd-laplace,9,0.7270269741399055,0.7451075620791499,539.6581668398878,0.21077275626088868
nd-laplace-truncated,4,0.8169652371921353,0.7663418610176492,799.638295007275,0.2854789665867531
nd-laplace-truncated,5,0.6221334161137054,0.6505827074198111,589.1002859957874,0.2671878912711064
nd-laplace-truncated,6,0.7550939996008034,0.755889461441126,555.8329337096426,0.2555354955570441
nd-laplace-truncated,7,0.5986109660655032,0.6479095285503405,608.1446809410887,0.25059092631835417
nd-laplace-truncated,8,0.6513365752081072,0.6772383729805314,540.1017600010692,0.21514405398359812
nd-laplace-truncated,9,0.6807645312755926,0.7119417001978023,545.3404112903862,0.2124779927436277
nd-laplace-optimal-truncated,4,0.4651703075733004,0.4721643609677565,777.3307165828095,0.28624917836974945
nd-laplace-optimal-truncated,5,0.56391833217944,0.5410537481931297,624.7598110451835,0.27203723623305304
nd-laplace-optimal-truncated,6,0.7272464482797193,0.6900289282122438,562.1268679819754,0.24822547558672844
nd-laplace-optimal-truncated,7,0.6058450955735413,0.6205213596140041,591.7368955169895,0.23950500371006442
nd-laplace-optimal-truncated,8,0.5883655212127011,0.6119507466398446,517.8320783078723,0.21150437422097879
nd-laplace-optimal-truncated,9,0.5650145868993369,0.5893766153784501,508.06878637290436,0.20566890557808634
