epsilon,distance,algorithm,dataset
0.1,19.509102615239886,2d-laplace,heart-dataset
0.5,4.014672319849483,2d-laplace,heart-dataset
0.7,2.8855170098105094,2d-laplace,heart-dataset
1.0,2.0188648795860766,2d-laplace,heart-dataset
1.5,1.3588524386955159,2d-laplace,heart-dataset
2.0,1.0208675964252119,2d-laplace,heart-dataset
2.5,0.787985816745061,2d-laplace,heart-dataset
3.0,0.6668009634681722,2d-laplace,heart-dataset
3.5,0.5652575761322401,2d-laplace,heart-dataset
5.0,0.4042000051740358,2d-laplace,heart-dataset
7.0,0.2862381605966939,2d-laplace,heart-dataset
9.0,0.21976933819379119,2d-laplace,heart-dataset
