epsilon,distance,algorithm,dataset
0.1,4.683616361186964,2d-laplace-truncated,seeds-dataset
0.5,2.662675496794157,2d-laplace-truncated,seeds-dataset
0.7,2.2384985111702886,2d-laplace-truncated,seeds-dataset
1.0,1.6766598199834464,2d-laplace-truncated,seeds-dataset
1.5,1.2221396295487326,2d-laplace-truncated,seeds-dataset
2.0,0.9708810680506091,2d-laplace-truncated,seeds-dataset
2.5,0.7500020827148141,2d-laplace-truncated,seeds-dataset
3.0,0.6785671068466395,2d-laplace-truncated,seeds-dataset
3.5,0.5762376260953981,2d-laplace-truncated,seeds-dataset
5.0,0.385799417358446,2d-laplace-truncated,seeds-dataset
7.0,0.2908642188985098,2d-laplace-truncated,seeds-dataset
9.0,0.225547929670782,2d-laplace-truncated,seeds-dataset
