type,dimensions,ari,ami,ch,sc,mechanism
KMeans(clusters=4),2,0.024951927820003522,0.023880175932556487,181.70409203285658,0.379242147404219,nd-piecewise
KMeans(clusters=4),3,0.02885221447252616,0.025902415401113914,182.49610990688495,0.3785508893082413,nd-piecewise
KMeans(clusters=4),4,0.03468034388942124,0.03013856096389973,182.02580108432724,0.38096873666155157,nd-piecewise
KMeans(clusters=4),5,0.0279165351972974,0.02541993906275993,187.99332861410116,0.385524594542442,nd-piecewise
KMeans(clusters=4),6,0.03529139988586449,0.032822040990496175,188.77262351887802,0.3892496164573446,nd-piecewise
KMeans(clusters=4),7,0.03169775968890802,0.02978876816310152,182.37607093461162,0.3805041615501901,nd-piecewise
KMeans(clusters=4),2,0.34694267541846363,0.3750395314323169,184.0167785845339,0.36475517576994954,nd-laplace
KMeans(clusters=4),3,0.35333300053060873,0.35539631996704363,181.54750365090567,0.3763458606234481,nd-laplace
KMeans(clusters=4),4,0.327994013045659,0.35305052466685255,184.2979281417751,0.37728000491815405,nd-laplace
KMeans(clusters=4),5,0.3521811510053765,0.36862389893716974,184.32873633646003,0.3721193250992149,nd-laplace
KMeans(clusters=4),6,0.31152109325111627,0.3525329918515714,181.34378029951858,0.36967311354140403,nd-laplace
KMeans(clusters=4),7,0.3153856375639684,0.34951639789282696,178.91624960287302,0.3667892158881083,nd-laplace
KMeans(clusters=4),2,0.3552199184369502,0.35275274165746534,293.4978700882031,0.46628662542511484,nd-laplace-truncated
KMeans(clusters=4),3,0.366430611977629,0.3621038503549005,289.2944626702501,0.4658388531748301,nd-laplace-truncated
KMeans(clusters=4),4,0.34189622786785434,0.3508644489943909,269.8862332687793,0.45029338972835153,nd-laplace-truncated
KMeans(clusters=4),5,0.33330582595328656,0.3479450053269507,280.88539832068835,0.4532555620106399,nd-laplace-truncated
KMeans(clusters=4),6,0.3595352350701901,0.35685471134423985,302.45125358209697,0.47429258008463837,nd-laplace-truncated
KMeans(clusters=4),7,0.3390383220577816,0.34919420750418645,284.60586709806825,0.4659058692921179,nd-laplace-truncated
KMeans(clusters=4),2,0.33675994364723066,0.3116020442172193,375.1746620375767,0.5135171495711539,nd-laplace-optimal-truncated
KMeans(clusters=4),3,0.3396412302256664,0.3131775665894496,357.28348308109344,0.5071233351628845,nd-laplace-optimal-truncated
KMeans(clusters=4),4,0.33505245199382194,0.3065951047380858,339.7603086245322,0.49665985787092176,nd-laplace-optimal-truncated
KMeans(clusters=4),5,0.3340432965677293,0.3109176610007119,374.83938785889563,0.5145719337422306,nd-laplace-optimal-truncated
KMeans(clusters=4),6,0.3634619265859659,0.3254245380031865,387.4550309699894,0.5185072649347722,nd-laplace-optimal-truncated
KMeans(clusters=4),7,0.3601965305640311,0.3326494937560208,385.5401468026535,0.5264642340704135,nd-laplace-optimal-truncated
