type,dimensions,ari,ami,ch,sc,mechanism
KMeans(clusters=4),2,0.8342695820521865,0.8111790916631447,693.2685201605949,0.5391601794384994,nd-piecewise
KMeans(clusters=4),3,0.8392971616616478,0.8077218534056808,752.1899933689444,0.5384836401147706,nd-piecewise
KMeans(clusters=4),4,0.8813025816532548,0.8491742501691716,715.2470447515021,0.5371541317999102,nd-piecewise
KMeans(clusters=4),5,0.8051237816100407,0.7779745812209908,641.8676914461286,0.5342448741248949,nd-piecewise
KMeans(clusters=4),6,0.8141200844865016,0.7843763499812292,635.303110416479,0.5340483221027119,nd-piecewise
KMeans(clusters=4),7,0.8130084184416031,0.7850869322928327,665.0412579659079,0.529366855589237,nd-piecewise
KMeans(clusters=4),2,0.859381836616205,0.8414465554714106,968.1309073409836,0.5508984451791119,nd-laplace
KMeans(clusters=4),3,0.8396763688823784,0.8281753974167326,951.1831647453012,0.5470882915482689,nd-laplace
KMeans(clusters=4),4,0.8122480996647221,0.8106065752385467,977.044154216115,0.5496115504415353,nd-laplace
KMeans(clusters=4),5,0.8370211403068636,0.8220250189583773,964.0321686274328,0.5463399475469396,nd-laplace
KMeans(clusters=4),6,0.878270150424407,0.859751341567838,965.9657313474587,0.5472864101785525,nd-laplace
KMeans(clusters=4),7,0.8193322355018113,0.816983529296645,957.583812645262,0.5448387994263751,nd-laplace
KMeans(clusters=4),2,0.8336696069742388,0.8258591771762015,963.1328197928073,0.5491417843817715,nd-laplace-truncated
KMeans(clusters=4),3,0.85989146384482,0.8398215302417338,952.5704168855694,0.5449429400965164,nd-laplace-truncated
KMeans(clusters=4),4,0.8439827638942461,0.8307364863496934,963.8936015822317,0.543447681136569,nd-laplace-truncated
KMeans(clusters=4),5,0.8723005255235232,0.8480684438202969,964.7723646213938,0.5457831311550003,nd-laplace-truncated
KMeans(clusters=4),6,0.8060033392437068,0.8065496805695961,935.3464489042146,0.5367935855370186,nd-laplace-truncated
KMeans(clusters=4),7,0.8781856419289464,0.8559606602283514,946.645250477178,0.5434869476983968,nd-laplace-truncated
KMeans(clusters=4),2,0.7882563423147863,0.7841467658134917,930.083924544334,0.534150253661924,nd-laplace-optimal-truncated
KMeans(clusters=4),3,0.8163444017941256,0.805048951559702,902.4808364624287,0.532953235517805,nd-laplace-optimal-truncated
KMeans(clusters=4),4,0.7816018850594613,0.7881286966760325,923.6439668845044,0.5297110727738239,nd-laplace-optimal-truncated
KMeans(clusters=4),5,0.7940753152533319,0.7857150118340601,909.1074081892668,0.5350101814676109,nd-laplace-optimal-truncated
KMeans(clusters=4),6,0.7887271995206543,0.7851815736067148,944.7214110703062,0.539912533546423,nd-laplace-optimal-truncated
KMeans(clusters=4),7,0.7863214525831038,0.7782717852382791,902.2264300523908,0.5339984344158643,nd-laplace-optimal-truncated
