type,dimensions,ari,ami,ch,sc,mechanism
KMeans(clusters=4),2,0.061269424652206285,0.054576564240966706,181.08595497320226,0.38218614654471506,nd-piecewise
KMeans(clusters=4),3,0.06694370242225231,0.06551806832107866,179.6437647606702,0.3830916692885079,nd-piecewise
KMeans(clusters=4),4,0.06873539866367012,0.0646417237853609,184.74196111535008,0.38967844860669487,nd-piecewise
KMeans(clusters=4),5,0.066350176431466,0.06201951431716204,170.86340165808255,0.36794930319408936,nd-piecewise
KMeans(clusters=4),6,0.06278772942349665,0.0589644871882967,177.0896098042264,0.3723241483688966,nd-piecewise
KMeans(clusters=4),7,0.06693217294090566,0.06431320848133329,178.15741536362356,0.38065064740130067,nd-piecewise
KMeans(clusters=4),2,0.4272456248680829,0.46803608493632476,238.46932418124362,0.38434954190664994,nd-laplace
KMeans(clusters=4),3,0.4499375653887701,0.47120366135502845,234.02221018965028,0.4011179112424351,nd-laplace
KMeans(clusters=4),4,0.4139645022691375,0.4464704974954893,237.2423557006146,0.39845048542195227,nd-laplace
KMeans(clusters=4),5,0.3946264581876682,0.43832742372735584,240.8322693882864,0.3938727401535242,nd-laplace
KMeans(clusters=4),6,0.4009203745011994,0.4456940378340294,244.68304607835412,0.39591243456010117,nd-laplace
KMeans(clusters=4),7,0.38099036946676046,0.42415287985507905,227.77458242665125,0.3866033498422877,nd-laplace
KMeans(clusters=4),2,0.4318716496323562,0.4308105220877412,311.814856175769,0.4517816376242979,nd-laplace-truncated
KMeans(clusters=4),3,0.4488043248499838,0.441916562792857,317.7560578676756,0.4528262137087699,nd-laplace-truncated
KMeans(clusters=4),4,0.44465752909958295,0.44255436129997755,312.9630173801157,0.45865369602839545,nd-laplace-truncated
KMeans(clusters=4),5,0.44076971215115607,0.4346799071216377,313.5847760103009,0.4615946242047997,nd-laplace-truncated
KMeans(clusters=4),6,0.4314035577636813,0.43458796879451195,319.78798120842015,0.4730083911895687,nd-laplace-truncated
KMeans(clusters=4),7,0.4077715999178004,0.41963930921815934,299.7483801173822,0.45163596684194374,nd-laplace-truncated
KMeans(clusters=4),2,0.40973357541417216,0.3919228074817656,365.7447789423018,0.48663150734714045,nd-laplace-optimal-truncated
KMeans(clusters=4),3,0.39783085159107395,0.38296715569660233,355.34950218691813,0.4870790880558594,nd-laplace-optimal-truncated
KMeans(clusters=4),4,0.41440102554136377,0.39609900494398126,345.2815988572739,0.4717352604847285,nd-laplace-optimal-truncated
KMeans(clusters=4),5,0.41964530678944917,0.3992906530357148,375.7430824002379,0.48710826664138074,nd-laplace-optimal-truncated
KMeans(clusters=4),6,0.395672962838763,0.38532511261327895,339.88557535496074,0.4767987129436855,nd-laplace-optimal-truncated
KMeans(clusters=4),7,0.399114353345858,0.38862704050092856,354.25754560329426,0.482274923911692,nd-laplace-optimal-truncated
