epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.1,0.6153846153846154,0.8076923076923077,[0.         0.80769231 1.        ],[0.         0.19230769 1.        ],39,2,nd-laplace-optimal-truncated
0.1,-0.038461538461538436,0.4857142857142857,[0.         0.65384615 1.        ],[0.         0.69230769 1.        ],40,2,nd-laplace-optimal-truncated
0.1,0.5,0.9333333333333333,[0.         0.53846154 1.        ],[0.         0.03846154 1.        ],41,2,nd-laplace-optimal-truncated
0.1,0.15384615384615385,0.5555555555555556,[0.         0.76923077 1.        ],[0.         0.61538462 1.        ],42,2,nd-laplace-optimal-truncated
0.1,-0.15384615384615385,0.4473684210526315,[0.         0.65384615 1.        ],[0.         0.80769231 1.        ],43,2,nd-laplace-optimal-truncated
0.1,0.30769230769230765,0.6333333333333333,[0.         0.73076923 1.        ],[0.         0.42307692 1.        ],44,2,nd-laplace-optimal-truncated
0.1,0.11538461538461542,0.5483870967741936,[0.         0.65384615 1.        ],[0.         0.53846154 1.        ],45,2,nd-laplace-optimal-truncated
0.1,0.1923076923076923,0.5675675675675675,[0.         0.80769231 1.        ],[0.         0.61538462 1.        ],46,2,nd-laplace-optimal-truncated
0.1,0.15384615384615385,0.5714285714285714,[0.         0.61538462 1.        ],[0.         0.46153846 1.        ],47,2,nd-laplace-optimal-truncated
0.1,0.4230769230769231,0.6666666666666667,[0.         0.84615385 1.        ],[0.         0.42307692 1.        ],48,2,nd-laplace-optimal-truncated
0.1,0.3461538461538461,0.6551724137931034,[0.         0.73076923 1.        ],[0.         0.38461538 1.        ],49,2,nd-laplace-optimal-truncated
0.5,0.15384615384615385,0.5588235294117647,[0.         0.73076923 1.        ],[0.         0.57692308 1.        ],0,2,nd-laplace-optimal-truncated
0.5,0.30769230769230765,0.6428571428571429,[0.         0.69230769 1.        ],[0.         0.38461538 1.        ],1,2,nd-laplace-optimal-truncated
0.5,0.0,0.5,[0.         0.53846154 1.        ],[0.         0.53846154 1.        ],2,2,nd-laplace-optimal-truncated
0.5,0.11538461538461531,0.5555555555555556,[0.         0.57692308 1.        ],[0.         0.46153846 1.        ],3,2,nd-laplace-optimal-truncated
0.5,0.3076923076923077,0.625,[0.         0.76923077 1.        ],[0.         0.46153846 1.        ],4,2,nd-laplace-optimal-truncated
0.5,0.07692307692307687,0.5294117647058824,[0.         0.69230769 1.        ],[0.         0.61538462 1.        ],5,2,nd-laplace-optimal-truncated
0.5,0.5384615384615384,0.7333333333333334,[0.         0.84615385 1.        ],[0.         0.30769231 1.        ],6,2,nd-laplace-optimal-truncated
0.5,0.3076923076923077,0.6666666666666666,[0.         0.61538462 1.        ],[0.         0.30769231 1.        ],7,2,nd-laplace-optimal-truncated
0.5,0.34615384615384615,0.7999999999999999,[0.         0.46153846 1.        ],[0.         0.11538462 1.        ],8,2,nd-laplace-optimal-truncated
0.5,0.11538461538461542,0.5405405405405406,[0.         0.76923077 1.        ],[0.         0.65384615 1.        ],9,2,nd-laplace-optimal-truncated
0.5,0.2692307692307693,0.64,[0.         0.61538462 1.        ],[0.         0.34615385 1.        ],10,2,nd-laplace-optimal-truncated
0.5,0.26923076923076916,0.6129032258064516,[0.         0.73076923 1.        ],[0.         0.46153846 1.        ],11,2,nd-laplace-optimal-truncated
0.5,0.3461538461538462,0.6956521739130436,[0.         0.61538462 1.        ],[0.         0.26923077 1.        ],12,2,nd-laplace-optimal-truncated
0.5,-0.038461538461538436,0.48148148148148157,[0.  0.5 1. ],[0.         0.53846154 1.        ],13,2,nd-laplace-optimal-truncated
0.5,0.2692307692307693,0.6060606060606061,[0.         0.76923077 1.        ],[0.  0.5 1. ],14,2,nd-laplace-optimal-truncated
0.5,0.23076923076923078,0.6071428571428572,[0.         0.65384615 1.        ],[0.         0.42307692 1.        ],15,2,nd-laplace-optimal-truncated
0.5,0.5,0.7407407407407407,[0.         0.76923077 1.        ],[0.         0.26923077 1.        ],16,2,nd-laplace-optimal-truncated
0.5,0.4230769230769231,0.7200000000000001,[0.         0.69230769 1.        ],[0.         0.26923077 1.        ],17,2,nd-laplace-optimal-truncated
0.5,0.11538461538461536,0.56,[0.         0.53846154 1.        ],[0.         0.42307692 1.        ],18,2,nd-laplace-optimal-truncated
0.5,0.11538461538461542,0.5517241379310345,[0.         0.61538462 1.        ],[0.  0.5 1. ],19,2,nd-laplace-optimal-truncated
0.5,0.49999999999999994,0.76,[0.         0.73076923 1.        ],[0.         0.23076923 1.        ],20,2,nd-laplace-optimal-truncated
0.5,0.3461538461538462,0.6956521739130436,[0.         0.61538462 1.        ],[0.         0.26923077 1.        ],21,2,nd-laplace-optimal-truncated
0.5,-0.07692307692307693,0.4583333333333333,[0.         0.42307692 1.        ],[0.  0.5 1. ],22,2,nd-laplace-optimal-truncated
0.5,0.0,0.5,[0.         0.46153846 1.        ],[0.         0.46153846 1.        ],23,2,nd-laplace-optimal-truncated
