epsilon,distance,algorithm,dataset
0.1,14.5211924559819,2d-laplace-optimal-truncated,heart-dataset
0.5,4.010437766248855,2d-laplace-optimal-truncated,heart-dataset
0.7,2.8044000795008044,2d-laplace-optimal-truncated,heart-dataset
1.0,1.9686997531823998,2d-laplace-optimal-truncated,heart-dataset
1.5,1.2736068275282628,2d-laplace-optimal-truncated,heart-dataset
2.0,0.9659066578082085,2d-laplace-optimal-truncated,heart-dataset
2.5,0.7598104001714865,2d-laplace-optimal-truncated,heart-dataset
3.0,0.6304461967798463,2d-laplace-optimal-truncated,heart-dataset
3.5,0.5538678379580643,2d-laplace-optimal-truncated,heart-dataset
5.0,0.39651295687050964,2d-laplace-optimal-truncated,heart-dataset
7.0,0.2750363112484883,2d-laplace-optimal-truncated,heart-dataset
9.0,0.21330424568830392,2d-laplace-optimal-truncated,heart-dataset
