epsilon,distance,algorithm,dataset
0.1,2.762463083998967,3d-laplace-optimal-truncated,seeds-dataset
0.5,1.6171505089517755,3d-laplace-optimal-truncated,seeds-dataset
0.7,1.1831753771719355,3d-laplace-optimal-truncated,seeds-dataset
1.0,1.0979511831488964,3d-laplace-optimal-truncated,seeds-dataset
1.5,0.8947710177097172,3d-laplace-optimal-truncated,seeds-dataset
2.0,0.784692545610693,3d-laplace-optimal-truncated,seeds-dataset
2.5,0.7796195357702345,3d-laplace-optimal-truncated,seeds-dataset
3.0,0.6622589676420996,3d-laplace-optimal-truncated,seeds-dataset
3.5,0.5862010030227638,3d-laplace-optimal-truncated,seeds-dataset
5.0,0.4713719303023009,3d-laplace-optimal-truncated,seeds-dataset
7.0,0.34606372664736346,3d-laplace-optimal-truncated,seeds-dataset
9.0,0.31753516939931986,3d-laplace-optimal-truncated,seeds-dataset
