epsilon,distance,algorithm,dataset
0.1,126.50207344842117,2d-piecewise,seeds-dataset
0.5,22.442194645168293,2d-piecewise,seeds-dataset
0.7,15.400530615893608,2d-piecewise,seeds-dataset
1.0,11.06710166780531,2d-piecewise,seeds-dataset
1.5,6.734676221394181,2d-piecewise,seeds-dataset
2.0,3.793585014331664,2d-piecewise,seeds-dataset
2.5,3.4790611914376215,2d-piecewise,seeds-dataset
3.0,2.3319069536762087,2d-piecewise,seeds-dataset
3.5,1.6746445501228555,2d-piecewise,seeds-dataset
5.0,0.7908894511208975,2d-piecewise,seeds-dataset
7.0,0.3013198873244202,2d-piecewise,seeds-dataset
9.0,0.09941163313794407,2d-piecewise,seeds-dataset
